Timestamp,What is your age group?  ,What is your gender? ,What is your highest level of educational qualification? ,What is your approximate monthly household income? ,Are you aware of sustainable packaging? ,I am aware of environmentally friendly packaging options. ,I prefer environmentally friendly packaging materials.,Awareness of environmentally friendly packaging influences my purchase decisions. ,I became aware of environmentally friendly packaging through the media.,I became aware of environmentally friendly packaging through product design. ,I prefer environmentally friendly packaging because I care about environmental sustainability. ,The likelihood that a product would be reliable due to its design and quality is: ,"The craftsmanship of a product, reflecting its attention to detail and branding, is:","Considering sustainable packaging, a product appears to have:","The dependability of a product, taking into account its brand reputation, is: ",Sustainable packaging suggests that a product is durable:,A brand's trustworthiness can influence my perception of a product's quality. ,"A brand's claims about its products, including sustainable packaging, should be believable. ","A trustworthy brand should deliver on its promises, particularly regarding sustainability initiatives. ",A reliable brand demonstrates the ability to back up its claims about sustainable practices and quality. ,"Over time, consistent experiences with a brand lead me to expect it to fulfill its promises regarding product quality and sustainability. ",A competent and reliable brand gives confidence to pay a premium for its products due to sustainable packaging. ,I agree to pay more for products with sustainable packaging. ,"I am proud to have products with sustainable packaging in my home, even though they are more expensive than products with conventional packaging. ",I would be willing to pay more to buy products with packaging that is less harmful to the environment. 
1-15-2025 9:53:09,Under 18,Male,Undergraduate degree,"?50,000–?75,000",Yes,3,5,4,3,3,3,2,2,2,3,3,5,4,5,5,5,5,5,5,5
1-15-2025 9:54:10,25–34,Male,Postgraduate degree,"More than ?1,00,000",Yes,5,5,3,3,4,5,5,3,4,5,5,5,5,3,3,4,5,4,3,4
1-15-2025 9:54:24,18–24,Female,Undergraduate degree,"?50,000–?75,000",Yes,2,2,1,4,3,4,4,3,4,5,3,4,5,5,4,4,5,4,5,4
1-15-2025 9:55:38,18–24,Female,Undergraduate degree,"?75,000–?1,00,000",Yes,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1-15-2025 9:55:49,35–44,Male,Doctorate,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 9:57:58,25–34,Female,Diploma,"?50,000–?75,000",Yes,4,1,5,2,4,5,3,1,4,1,5,5,1,2,4,2,4,5,4,3
1-15-2025 9:58:26,18–24,Male,High school or less,"Less than ?25,000",Yes,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2
1-15-2025 10:18:15,18–24,Male,Diploma,"More than ?1,00,000",Yes,5,4,2,3,5,4,4,5,4,5,4,4,5,5,5,5,5,2,4,5
1-15-2025 10:24:04,18–24,Female,Undergraduate degree,"Less than ?25,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 10:25:02,25–34,Female,Diploma,"?50,000–?75,000",Yes,1,2,4,4,2,4,3,2,3,1,2,3,2,4,4,5,1,2,3,3
1-15-2025 10:26:24,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,4,5,4,3,4,5,4,4,4,5,4,4,4,5,4,4,5,5,5,5
1-15-2025 10:32:12,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,4,3,3,4,4,3,4,4,4,4,4,3,4,5,4,4,4,3,3,3
1-15-2025 10:32:24,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,5,3,3,5,4,4,5,4,5,5,5,4,3,5,5,5,5,5
1-15-2025 10:38:35,18–24,Male,Undergraduate degree,"?50,000–?75,000",Yes,5,5,4,5,5,5,5,4,3,3,3,3,3,4,4,3,2,3,2,2
1-15-2025 11:06:50,18–24,Male,Undergraduate degree,"?25,000–?50,000",Yes,5,5,3,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3
1-15-2025 11:08:36,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5
1-15-2025 11:16:23,25–34,Male,Postgraduate degree,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 11:28:29,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,4,3,3,3,4,3,4,5,4,4,3,4,2,3,3,4,3,2,2,2
1-15-2025 11:29:37,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,5,5,1,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5
1-15-2025 11:41:55,18–24,Male,High school or less,"Less than ?25,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 11:51:16,18–24,Male,Undergraduate degree,"Less than ?25,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 11:52:05,Under 18,Male,High school or less,"Less than ?25,000",Yes,1,2,3,5,1,3,4,5,4,5,5,5,4,5,4,4,4,4,5,4
1-15-2025 11:55:59,45–54,Male,Postgraduate degree,"Less than ?25,000",Yes,1,1,1,1,1,1,4,3,1,1,5,3,1,3,1,1,1,1,2,2
1-15-2025 11:57:31,18–24,Male,High school or less,"More than ?1,00,000",Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1-15-2025 12:51:39,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,2,2,2,3,3,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3
1-15-2025 12:57:41,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,4,5,5,3,2,4,5,5,4,4,3,4,5,5,5,5,5,3,3,3
1-15-2025 12:58:02,18–24,Male,Undergraduate degree,"Less than ?25,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 14:21:06,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,2,4,5,5,5,5,3,5,3,5,5,5,5,5,5,4,5,5
1-15-2025 14:28:15,18–24,Male,Undergraduate degree,"Less than ?25,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 16:45:44,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,4,3,5,5,3,3,4,3,4,5,4,5,3,2,5,4,4,3,4
1-15-2025 16:46:37,18–24,Female,Diploma,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 16:48:25,25–34,Male,Postgraduate degree,"More than ?1,00,000",Yes,4,4,5,4,4,5,3,4,3,5,4,5,4,3,4,5,4,4,5,4
1-15-2025 16:49:19,35–44,Male,Doctorate,"More than ?1,00,000",Yes,5,5,4,5,4,5,4,3,4,4,3,4,4,5,3,5,4,4,3,4
1-15-2025 16:50:23,25–34,Male,Undergraduate degree,"More than ?1,00,000",Yes,3,4,4,3,2,5,3,4,5,4,3,5,4,5,4,3,5,3,4,5
1-15-2025 16:51:07,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,4,3,4,5,4,3,4,3,5,4,3,2,3,2,3,4,3,3,2,4
1-15-2025 16:52:32,Under 18,Female,High school or less,"?75,000–?1,00,000",Yes,3,4,2,3,3,3,5,4,3,5,2,1,2,3,2,2,3,2,1,2
1-15-2025 16:53:01,45–54,Female,Postgraduate degree,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-15-2025 16:54:00,25–34,Female,Postgraduate degree,"More than ?1,00,000",Yes,2,3,3,4,3,4,3,4,3,5,4,5,5,3,4,5,3,4,3,4
1-15-2025 17:01:04,18–24,Male,Undergraduate degree,"?75,000–?1,00,000",Yes,3,4,5,4,3,5,4,3,4,5,4,4,5,5,3,4,4,4,5,4
1-15-2025 17:02:23,25–34,Female,Undergraduate degree,"?75,000–?1,00,000",Yes,4,3,5,3,4,3,3,4,5,4,3,5,4,3,4,5,3,3,4,5
1-15-2025 17:06:00,18–24,Female,Diploma,"More than ?1,00,000",Yes,4,3,5,4,3,4,3,4,2,2,4,3,4,2,4,3,4,3,4,4
1-15-2025 17:07:19,35–44,Female,Postgraduate degree,"More than ?1,00,000",Yes,3,4,5,3,4,3,2,3,4,3,2,5,4,3,4,4,3,3,4,4
1-15-2025 17:08:22,25–34,Female,Postgraduate degree,"More than ?1,00,000",Yes,4,3,2,4,5,2,4,3,4,2,4,5,5,4,3,4,3,3,4,5
1-15-2025 17:09:56,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,5,5,4,5,4,4,3,4,5,4,4,5,4,5,4,4,4,4,5,5
1-15-2025 19:58:06,18–24,Female,Undergraduate degree,"Less than ?25,000",Yes,4,3,4,4,5,4,4,3,4,5,4,4,3,5,4,4,3,2,3,4
1-16-2025 12:04:24,18–24,Male,Undergraduate degree,"?50,000–?75,000",Yes,3,4,5,5,4,5,5,5,4,4,3,4,4,5,5,5,4,5,3,4
1-16-2025 12:06:54,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,5,5,5,4,4,3,5,4,4,4,4,4,4,4,4,4,5,4,5,4
1-16-2025 12:07:58,18–24,Female,Undergraduate degree,"More than ?1,00,000",Yes,4,4,4,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,4,4
1-16-2025 12:08:46,25–34,Female,Postgraduate degree,"More than ?1,00,000",Yes,4,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,5,5,4
1-17-2025 1:16:31,18–24,Male,Undergraduate degree,"More than ?1,00,000",Yes,4,4,4,3,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,5
1-17-2025 1:18:40,18–24,Male,Undergraduate degree,"?75,000–?1,00,000",Yes,5,4,4,4,2,5,4,4,5,4,5,4,5,4,4,4,5,4,5,4
1-17-2025 1:19:16,45–54,Male,Doctorate,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-17-2025 1:20:04,18–24,Female,Undergraduate degree,"?75,000–?1,00,000",Yes,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5
1-17-2025 1:20:58,25–34,Male,Undergraduate degree,"?50,000–?75,000",Yes,3,5,4,5,5,5,4,4,4,4,4,5,4,4,5,4,4,5,4,5
1-17-2025 1:43:52,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,4,3,5,3,4,5,2,4,3,4,5,3,3,3,4,4,5,4,4,4
1-17-2025 13:19:40,45–54,Male,Postgraduate degree,"More than ?1,00,000",Yes,5,5,5,4,5,5,5,5,5,4,3,3,4,3,4,3,5,3,4,4
1-17-2025 15:10:02,18–24,Male,Undergraduate degree,"?50,000–?75,000",No,,,,,,,,,,,,,,,,,,,,
1-17-2025 15:10:06,45–54,Male,Doctorate,"More than ?1,00,000",No,,,,,,,,,,,,,,,,,,,,
1-17-2025 15:10:27,18–24,Male,Undergraduate degree,"?50,000–?75,000",No,,,,,,,,,,,,,,,,,,,,
1-17-2025 15:10:52,18–24,Male,Undergraduate degree,"Less than ?25,000",No,,,,,,,,,,,,,,,,,,,,
1-17-2025 15:11:47,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1-17-2025 15:12:33,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1-17-2025 15:23:22,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,3,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,5,5,5
1-17-2025 15:24:21,Under 18,Male,Undergraduate degree,"Less than ?25,000",Yes,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1-17-2025 15:51:53,18–24,Male,Undergraduate degree,"?75,000–?1,00,000",Yes,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,3,4,4,5
1-17-2025 19:34:19,18–24,Male,Undergraduate degree,"Less than ?25,000",Yes,2,2,2,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3
1-17-2025 19:35:15,18–24,Female,High school or less,"Less than ?25,000",Yes,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3
1-17-2025 19:36:04,25–34,Female,High school or less,"Less than ?25,000",Yes,3,5,3,4,3,3,3,2,3,2,5,3,5,5,5,4,4,2,4,4
1-17-2025 19:38:46,18–24,Male,High school or less,"Less than ?25,000",Yes,2,3,4,5,4,5,4,4,3,4,2,2,2,2,4,3,3,3,3,5
